name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty
Erik Nordheim,Not Specified,5.0,8,100%,3.4
Warren Porter,Biology,2.5,71,N/A,3.8
John Coleman,Political Science,4.4,84,N/A,2.6
Kay Yandell,Women's Studies,2.9,25,N/A,2.2
Cathy Middlecamp,Chemistry,4.5,55,100%,2.1
Tao Han,Physics,2.8,12,N/A,2.9
Howard Whitlock,Chemistry,2.5,107,N/A,2.9
Arun Ram,Mathematics,3.7,115,N/A,4.1
Joel Robbin,Mathematics,1.6,58,N/A,4
Sheldon Klein,Languages,0.0,0,N/A,0
. Keely,Economics,2.5,12,N/A,2.1
David Mortensen,Communication,2.3,10,100%,3.1
Nicola Ferrier,Engineering,3.8,14,N/A,3.3
Marcia Kasieta,Marketing,2.5,6,N/A,3.2
Larry Nesper,Anthropology,2.8,65,43%,3.7
Michael Chamberlain,History,3.9,43,100%,3.1
Tony Ives,Biology,4.4,39,92%,2.3
John Sharpless,History,4.2,67,100%,2.6
William Risley,Languages,2.4,14,N/A,2.6
Bruce Gladstone,Music,4.5,21,0%,2.5
Kelley Conway,Film,3.9,28,80%,2.3
Jiming Jiang,Biology,3.4,9,N/A,3.2
Robert Wilson,Mathematics,4.5,62,N/A,2.4
Joseph Skulan,Geology,3.1,16,N/A,3.4
William Reese,History,3.9,10,50%,3.2
Karla Johnstone,Accounting,3.5,5,50%,3.2
Qiang Cui,Chemistry,2.7,36,N/A,3.5
Helen Blackwell,Chemistry,3.9,61,80%,3.6
Howard Zimmerman,Chemistry,2.1,52,N/A,2.6
Murvet Enc,Languages,3.1,12,N/A,3
Julie Mitchell,Mathematics,3.5,76,60%,2.8
Gary Weismer,Communication,4.5,25,N/A,2.5
Rebecca Walkowitz,English,4.0,21,N/A,2.8
Donald Downs,Political Science,3.9,51,N/A,3.4
Dhavan Shah,Journalism,4.1,40,100%,3.1
Stephen Vaughn,Journalism,3.4,14,N/A,2.5
Andre Wink,History,3.3,24,60%,2.1
David Griffeath,Mathematics,3.4,7,N/A,4.3
Sean Teuton,Ethnic Studies,3.0,36,N/A,2.8
Jean Pierre Rosay,Mathematics,2.0,25,N/A,4.4
Camille Gonzales,Ethnic Studies,3.8,8,N/A,1.8
Steven Zwickel,Engineering,3.9,25,40%,3
Steve Stern,History,3.3,19,N/A,3
Tong Hai Yang,Mathematics,3.0,38,100%,2.4
Constance Steinkuehler,Education,4.4,11,N/A,1.3
Nancy Langston,Science,4.3,17,N/A,2.2
Atefeh Oliai,Languages,4.0,5,N/A,3.2
Judith Manning,Microbiology,4.4,14,N/A,2.1
Craig Werner,Humanities,4.5,30,100%,2.8
Daniel J. Schumacher,Science,0.0,0,N/A,0
Sergi Bolotin,Mathematics,2.6,60,60%,3.4
Kurt Squire,Education,4.1,7,N/A,1.7
Keith Busby,Languages,3.6,10,N/A,2.8
Richard Young,English,3.1,35,34%,3.4
Lev Borisov,Mathematics,3.4,87,N/A,4
Jay Samuel,Engineering,3.4,69,N/A,2.2
Alexandru Ionescu,Mathematics,2.6,7,N/A,3.7
Elise Gold,Engineering,4.0,26,100%,4
Joseph Elder,Sociology,4.0,111,N/A,2
Ken Goldstein,Political Science,3.6,56,N/A,3.5
Bert Kritzer,Political Science,5.0,3,N/A,3.7
Ruth Turley,Sociology,4.2,35,N/A,2
Joon-Wook Ahn,Physics,0.0,0,N/A,0
I.M. Isaacs,Mathematics,4.4,63,100%,3.8
Karen Strier,Anthropology,4.5,27,100%,2.1
Gail Geiger,Art & Art History,2.6,20,N/A,3.7
Severino Albuquerque,Languages,3.8,9,N/A,2.8
Arnold Miller,Mathematics,2.3,46,N/A,3
George Johnson,Engineering,4.1,27,N/A,2
Fleming Crim,Chemistry,4.3,39,N/A,3.5
Kyra Sido,Languages,3.9,24,N/A,4.1
Robin Worth,Languages,4.6,6,N/A,2.2
Jack Mitchell,Journalism,3.9,49,100%,2.7
Juan Comesana,Philosophy,3.1,23,N/A,3.3
Jill Steinberg,Not Specified,3.1,18,N/A,2.7
Yong-Geun Oh,Mathematics,1.4,30,N/A,4.1
Richard Johnson,Mathematics,1.6,14,N/A,3.1
Vivian Tomlinson,Fine Arts,3.2,18,N/A,2.8
Alexander Nagel,Mathematics,4.7,45,N/A,2.7
Charles Casey,Chemistry,2.3,5,N/A,3.4
Johann Sommerville,History,3.9,51,75%,2.5
Rachel Brenner,History,3.4,18,56%,2.9
Dana Geary,Geology,4.4,47,100%,2.7
Keith Yandell,Philosophy,2.6,40,N/A,3.2
Evelyn Howell,Biology,2.8,37,42%,3.3
Phil Simon,Biology,2.1,19,N/A,4.1
Rick Jenison,Psychology,3.6,18,100%,3.1
Laura McClure,Humanities,3.7,39,75%,2.3
Consuelo Lopez-Springfield,Women's Studies,2.2,7,N/A,3.6
Walter Goodman,Entomology,4.8,22,100%,1.4
Shamus Khan,Sociology,4.9,10,N/A,2.7
Donata Oertel,Science,3.1,6,N/A,3.3
Manos Mavrikakis,Engineering,2.8,6,N/A,4.3
Yongming Zhou,Anthropology,3.2,46,67%,1.7
Kimber Malmgren,Education,4.9,15,N/A,1.5
Doug Rouse,Science,4.2,41,84%,2.5
Ovamir Anjum,Languages,2.9,10,100%,2.6
Hala Ghoneim,Languages,4.8,7,100%,3
Carla Love,Languages,3.1,25,N/A,2.8
Christopher Coe,Psychology,4.6,72,85%,2.7
Julie D'Acci,Communication,4.5,22,N/A,2.2
Malcom Forster,Philosophy,2.8,21,0%,2.7
Kurt Amann,Science,2.3,79,25%,3.7
Karen Steudel,Biology,3.5,34,N/A,2.8
Barbara Ingham,Science,3.3,30,N/A,2.5
William (bill) Cronon,History,4.3,67,92%,2.9
Leslie Haygood,Not Specified,4.8,6,N/A,1.7
Phil Brown,Geology,3.8,23,34%,3
Gordon Medaris,Geology,0.0,0,N/A,0
Maggie Hawkins,Education,3.1,9,50%,2.7
Jesenko Vukadinovic,Mathematics,3.9,32,N/A,2.6
Michael Morgan,Science,2.4,42,100%,3.7
Stanley Temple,Science,4.1,14,100%,2.6
David Morgan,History,3.8,6,N/A,1.8
Mark Cook,Agriculture,4.2,25,100%,2.3
David Combs,Agriculture,4.4,17,70%,2.4
Katherine Morrow,Engineering,3.8,31,75%,2.6
Christopher Syrnyk,Languages,4.8,12,N/A,2.6
Ian Hiskens,Engineering,2.9,5,N/A,3.2
Deborah Joseph,Computer Science,2.8,47,100%,2.5
Luke Mawst,Engineering,3.1,8,50%,2.9
Florencia Mallon,History,3.5,28,N/A,3.1
Craig Berridge,Psychology,3.6,5,100%,3.2
Edward Friedman,Political Science,2.8,61,50%,3.2
Denise Wiyaka,Ethnic Studies,3.8,7,100%,3
Sharon Derry,Education,3.2,8,N/A,2.6
Joyce Hemphill,Education,4.3,51,N/A,2.1
Maryellen MacDonald,Psychology,4.0,35,84%,2.5
Jenny Saffran,Psychology,4.6,25,100%,2.8
Richard Vierstra,Biology,3.9,17,N/A,2.7
Beverly Taylor,Music,3.5,29,25%,1.8
Jim Leary,Ethnic Studies,4.3,12,N/A,2
Chris Livanos,Literature,4.2,39,40%,1.7
Quentin Carpenter,Biology,2.6,8,N/A,2.8
Sabine Gross,Languages,4.1,10,N/A,2.8
Don Reeder,Physics,1.8,21,N/A,3.9
Patrick Masson,Science,3.1,10,67%,3.4
John Curtin,Psychology,4.6,7,N/A,3
Guillermina De Ferrari,Languages,3.2,17,34%,3.8
Donna Fernandez,Biology,3.1,59,50%,3.5
Douglas Bates,Mathematics,2.5,16,N/A,3.1
Claude Woods,Chemistry,2.6,43,0%,3.9
Irene Katele,Criminal Justice,4.7,87,N/A,3.6
Richard Davis,Music,4.0,15,N/A,1.9
Christine Garlough,Communication,4.4,36,67%,2.4
Gilbert Nathanson,Chemistry,4.7,43,82%,2.9
Traci Kelly,Communication,4.7,7,N/A,1.9
Cary Forest,Physics,2.6,11,0%,3.8
Grant Petty,Science,4.1,41,N/A,2.5
John Westbury,Communication Disorders,2.8,29,N/A,4.2
Uli Shamiloglu,Not Specified,3.5,19,N/A,1.6
Narciso Menocal,Art & Art History,3.4,20,N/A,3.8
Bert Adams,Sociology,3.6,66,N/A,2.8
Mark Hill,Computer Science,3.6,12,N/A,2.4
Jeff Greeley,Engineering,0.0,0,N/A,0
John Niles,English,3.9,10,N/A,2.2
Tom Popkewitz,Education,3.9,4,N/A,3.3
Patricia Mullins,Business,3.9,45,N/A,2.9
Mark Lindquist,Business,3.9,19,50%,1.7
Scott Troyan,Business,3.4,13,N/A,1.7
Jennifer Sarin,Business,5.0,1,100%,2
Bruce Harms,Business,2.8,29,0%,3.7
Timothy Welnetz,Business,4.6,12,N/A,2.3
Randall Dunham,Management,4.1,16,N/A,2.4
Erik Wright,Sociology,3.7,47,100%,2.7
Anne Vila,Languages,3.0,8,34%,3.2
Jim Raymo,Sociology,5.0,2,N/A,4
Alexander Dolinin,Literature,4.6,28,100%,2.5
. Rueter,Languages,4.5,11,N/A,3.6
Mark Brown,Business,4.7,19,N/A,2.3
Anuj Desai,Law,3.8,7,100%,3.3
Nelly Halzen,Languages,4.3,17,N/A,2.9
Michelle Sharp,Languages,3.2,14,N/A,3.4
Richard Shaten,Economics,3.8,10,N/A,2.9
Katherine McMahon,Engineering,4.0,14,N/A,2.9
Mara Loveman,Sociology,4.8,2,N/A,3.5
Susan Bernstein,English,3.4,14,N/A,3.3
Teresa Adams,Engineering,2.1,8,0%,3
Cameron MacDonald,Sociology,3.8,26,N/A,2.2
Jonathan Lang,Philosophy,4.7,7,N/A,4.1
John Witte,Political Science,3.9,15,N/A,3.3
Jim Knox,Geography,4.0,13,N/A,2.2
Jane Hutchison,Art & Art History,2.5,39,N/A,2.4
Kathryn Hendley,Law,4.1,25,84%,3.3
Max Statkiewicz,Literature,3.5,16,100%,2.1
Kevin Strang,Medicine,4.6,70,100%,3.5
Mary Beltran,Communication,4.5,17,N/A,2.5
Jason Yaeger,Anthropology,3.5,26,N/A,2.9
Ray Harris,Languages,4.6,10,N/A,3.9
Sharon McCabe,Business,4.2,40,100%,3.3
Frank Salomon,Anthropology,2.2,41,N/A,3.1
John Murphy,Engineering,4.4,21,100%,2.1
Janet Jensen,Music,4.8,5,N/A,1.4
Michael Winokur,Physics,2.2,68,34%,4.3
David Camacho,Mathematics,2.7,31,N/A,2.8
Prospero Saiz,Literature,2.6,11,100%,3.6
Keith Kluender,Psychology,3.9,14,N/A,3.1
Robert Bickner,Languages,4.7,5,N/A,2.2
Pao Wang,Atmospheric Sciences,3.1,18,N/A,1.5
Stephen Lucas,Communication,4.4,15,100%,3.3
Darren Haney,Languages,2.8,11,N/A,3.1
Thomas Dale,Art & Art History,3.6,22,60%,3.1
Chris Sheppard,Music,4.4,5,100%,2
Gloria Beffa,Mathematics,2.6,13,N/A,3.7
Ray Guries,Science,4.4,11,N/A,1.1
Daniel Hausman,Philosophy,4.0,34,72%,3.6
Myra Marx Ferree,Sociology,3.1,17,50%,3.4
Adriana Fonseca Vargas,Languages,4.4,14,N/A,2.8
Rich Slaughter,Geology,4.6,39,N/A,2.8
Michael Reuter,Languages,3.9,8,N/A,3.1
Neil Whitehead,Anthropology,3.7,15,N/A,2.3
Elliot Sober,Philosophy,3.9,15,67%,3.3
Cora Lee Kluge,Languages,3.4,15,N/A,2.2
Michael Thornton,Ethnic Studies,3.0,18,38%,3.7
Jeff Kirsch,Languages,3.4,5,N/A,4
Andrej Zlatos,Mathematics,2.8,32,N/A,3.9
Jane Piliavin,Sociology,3.5,6,100%,3.2
Don Waller,Science,3.6,26,100%,3.2
Allen Clauss,Chemistry,4.8,59,N/A,2.9
Maria Ghiggia,Languages,4.1,4,N/A,3.3
Bart Kastermans,Mathematics,4.0,20,N/A,3.3
Rand Valentine,Languages,4.5,18,100%,1.9
Karen Wassarman,Biology,2.6,6,100%,3.3
Jamey Weichert,Medicine,0.0,0,N/A,0
Andrew Peters,Science,2.4,20,N/A,3.3
Nicholas Keuler,Mathematics,3.3,22,20%,3.2
Sara Goldrick-Rab,Education,4.4,23,100%,3.1
Susan Coppersmith,Physics,1.6,18,0%,3.1
John Cooper,History,4.3,22,N/A,2.2
John Mattioli,Literature,3.5,4,N/A,3.5
Michael Fox,Religion,0.0,0,N/A,0
Ronald Smith,Business,3.9,8,0%,2.6
Paul Nadasdy,Anthropology,4.2,15,N/A,2.3
Lester Hunt,Philosophy,2.8,22,N/A,3.2
Louise Young,History,4.6,10,100%,3.4
Kaelyn Stiles,Sociology,3.1,14,N/A,2.4
Edgar Spalding,Biology,4.5,36,100%,2.7
Nancy Kaiser,Languages,3.9,6,N/A,2.7
Claudia Card,Philosophy,3.5,24,N/A,2.8
Leyuan Shi,Engineering,3.0,2,N/A,3.5
Greg Van Rybroek,Psychology,4.5,6,N/A,2.5
Katherine Magnuson,Social Work,3.2,9,N/A,3.1
Jean Bahr,Geology,3.0,11,0%,3.2
Lawrence Earp,Music,3.3,14,N/A,2.3
Jeremi Suri,History,4.7,48,N/A,3.8
Dominique Brossard,Journalism,3.6,7,N/A,2.6
Gregg Perkins,Art & Art History,1.9,13,N/A,2
John Kennan,Economics,2.7,7,N/A,4.1
Angela Barian,Sociology,4.5,16,N/A,1.9
Mary Lou Daniel,Languages,0.0,0,N/A,0
William Woehrle,Physical Ed,3.6,7,N/A,1.7
Dave Supple,Physical Ed,4.8,8,N/A,1.1
T. Douglas Price,Anthropology,2.9,21,N/A,3.3
Jean Lee,History,3.1,13,N/A,2.9
Tom Tierney,Accounting,4.4,17,N/A,3.7
Gloria Mari-Beffa,Mathematics,2.8,66,100%,4
Kim Manner,Engineering,3.3,46,23%,2.8
Ann Althouse,Law,2.5,15,N/A,2.5
Christine Stephenson,English,4.8,18,100%,1.8
Byron Shafer,Political Science,3.8,10,N/A,2.9
Dan Fuller,Art & Art History,3.8,22,67%,2
C Levine,English,4.5,14,N/A,2.7
William Bland,Science,3.6,32,N/A,2.2
Athanasios Tzavaras,Mathematics,0.0,0,N/A,0
Michael Hunt,Design,4.9,7,N/A,2.4
Haya Yuchtman,Languages,4.6,11,100%,1.3
Robert Nixon,English,4.5,18,N/A,2.1
Sarah Atis,Asian Studies,3.0,16,N/A,2
Colleen Dunlavy,History,3.8,15,N/A,2.9
Rafael Chavez,Engineering,2.0,30,28%,3.5
David McDonald,History,4.1,20,100%,3.3
Uli Schamiloglu,History,3.0,33,N/A,1.8
Dale Schoeller,Science,2.4,10,N/A,4.3
Guy Groblewski,Not Specified,4.1,15,100%,3.4
Charles Franklin,Political Science,3.3,9,N/A,3.2
David Anderson,Engineering,4.7,14,100%,3.2
Karen Miller,Computer Science,3.6,41,100%,2.8
Thomas Armbrecht,Languages,3.9,17,N/A,3.5
Robert Rowlands,Engineering,2.8,13,N/A,2.5
Ahna Skop,Genetics,4.9,5,N/A,2.4
Christopher Day,Biology,3.5,41,0%,3.3
Stephen Nelsen,Chemistry,1.4,34,N/A,4.2
Aric Rindfleisch,Marketing,4.6,84,N/A,2.4
Gregory Moses,Engineering,4.6,20,100%,2.4
Mikhail Feldman,Mathematics,2.1,87,65%,2.9
Xochitl Gilkeson,English,4.5,8,N/A,2.8
Sara Patterson,Agriculture,3.5,22,0%,2.9
Eric Nycz,Political Science,3.9,4,N/A,2.5
Susan Yadro,Nursing,4.1,5,50%,1.8
Donald Davis,Religion,4.6,32,N/A,1.7
Marc Anderson,Engineering,4.8,11,N/A,2.3
Kristyn Masters,Engineering,4.8,6,N/A,2.7
Eric Pritchard,English,4.0,3,100%,3
Chun Ming Zhang,Mathematics,2.3,8,100%,2.6
Bruce Christensen,Biology,4.3,15,N/A,3.6
Kathleen Connolly,Languages,4.3,6,N/A,2.5
Joshua Longfellow Stokdyk,English,4.2,6,100%,2
John Chen,History,0.0,0,N/A,0
Jan Greenberg,Social Work,4.8,4,100%,2.5
Kristen Slack,Social Work,2.9,4,100%,3.3
John L. Martin,Sociology,4.2,3,N/A,3.3
Junko Mori,Languages,4.6,10,100%,4
Katerina Idette Somers,Languages,5.0,3,100%,2.7
Sherry Reames,English,3.8,13,N/A,2.9
Jeanan Yasari,Consumer Science,4.2,11,N/A,1.6
Giosue Alagna,Languages,4.3,16,75%,2.3
Craig Westerland,Mathematics,3.2,25,N/A,2.5
Kenneth George,Anthropology,3.0,34,N/A,3
Svetlana Karpe,Languages,5.0,2,N/A,1
John Eason,Languages,4.1,4,N/A,2.3
Sreya Mitra,Communication,3.4,9,N/A,2.7
Harold Tobin,Geology,4.4,19,100%,2.6
Kim Cridler,Fine Arts,4.0,2,N/A,4
Mike Schroeder,Mathematics,4.5,6,N/A,3.3
Izabela Szlufarska,Engineering,4.8,2,N/A,2
Fred Brauer,Mathematics,1.3,2,N/A,3
Jeff Blakely,Anthropology,3.8,5,0%,4
Ben Irwin,Music,0.0,0,N/A,0
Robert Witt,Engineering,3.3,99,94%,4.1
Tim Gomez,Science,3.7,3,100%,1.7
David Moskowitz,Mathematics,1.7,3,N/A,3.7
Martine Delannay,Sociology,4.3,17,0%,1.9
Michael Olneck,Sociology,2.3,3,N/A,3.7
Pamela Herd,Sociology,5.0,2,N/A,2.5
William Weidanz,Biology,0.0,0,N/A,0
Otto Marxhausen,English,4.3,9,N/A,3.1
Rudy Koshar,History,3.8,28,50%,3.3
Hans Reich,Chemistry,4.5,13,N/A,3.4
Fisher Becky,English,4.8,4,100%,3.3
David Watkins,Medicine,4.3,8,N/A,1.4
Cecile Ane,Mathematics,4.0,9,100%,3.1
Jonathan Oler,Psychology,4.8,4,N/A,2.8
Aobing Li,Mathematics,1.3,24,N/A,3.6
Susan Riley,Psychology,3.8,11,0%,3.5
Richard Staley,History,3.1,25,N/A,3.1
David Glaeser,Physical Ed,4.2,7,N/A,2.3
Richard A Anderson,Medicine,4.8,9,100%,3.9
Spencer Young,History,4.0,5,N/A,2.8
Thongchai Winichakul,History,1.8,4,N/A,3.8
Johanna Hertel,Economics,1.5,57,N/A,4.1
Paul Friesen,Biology,4.7,6,100%,4
Katherine Cramer,Political Science,4.8,7,100%,3
Steven Winspur,Languages,4.5,7,N/A,3.6
Sindo Kou,Engineering,4.8,4,N/A,2.3
Charles James,Languages,3.7,18,N/A,1.8
Steve Burke,Chemistry,3.2,50,100%,4.2
Jake Vander Zanden,Science,4.2,13,100%,2.8
Naomi McGloin,Languages,3.8,9,N/A,2.7
Moneera Al-Ghadeer,Cultural Studies,4.6,4,N/A,3.5
Miles Epstein,Biology,2.0,15,N/A,3.5
